database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	METHOD	PUBCHEM	CAS	KEGG	HMDB	FREI-01736	FREI-01737	FREI-01738	FREI-01739	FREI-01740	FREI-01741	FREI-01742	FREI-01743	FREI-01744	FREI-01745	FREI-01746	FREI-01747
CHEBI:73004	C21H44NO7P	[C@@H](COC(=O)CCCCCCCCCCCCCCC)(COP(OCC[NH3+])(=O)[O-])O	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1	1-palmitoyl-GPE (16:0)																	Method 2	9547069	53862-35-4		HMDB11503	11930648	15359566	14225683	12237452	14798336	17566418	15171756	15726917	15066649	17352016	18210854	22584884
				1-palmitoyl-GPG (16:0)*																	Method 3	3300276				1839340	1866513	1134161	2078908	3132338	631401	7815501	9058973	3773730	4754298	3569852	2477395
CHEBI:73218	C25H49O12P	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C25H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(27)35-16-18(26)17-36-38(33,34)37-25-23(31)21(29)20(28)22(30)24(25)32/h18,20-26,28-32H,2-17H2,1H3,(H,33,34)/t18-,20-,21-,22+,23-,24-,25-/m1/s1	1-palmitoyl-GPI (16:0)																	Method 3				HMDB61695	2802074	2071569	1862695	3510869	5611524	825293	11159968	18234696	6080728	7817036	7360933	3851822
				1-palmitoyl-GPS (16:0)*																	Method 3	9547100				634268	523204	442143	796651	1545733	161131	2267526	3779005	1100260	1545353	1367727	727301
				1-palmitoylglycerol (16:0)																	Method 3	14900	542-44-9		HMDB31074	19181576	19516308	8813938	17789846	21192980	3606615	83181848	144858528	41459932	38645236	44098200	29482292
				1-pentadecanoylglycerol (15:0)																	Method 3	190750	104140-07-0			366390	482436	259501	329175	707976		3412494	2664519	1330264	1706711	732218	932539
CHEBI:74965	C46H84NO8P	O=C(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)O[C@@H](COP(OCC[N+](C)(C)C)(=O)[O-])COC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C46H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h14,16,20,22,25,27,31,33,44H,6-13,15,17-19,21,23-24,26,28-30,32,34-43H2,1-5H3/b16-14-,22-20-,27-25-,33-31-/t44-/m1/s1	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)																	Method 2	16219824	35418-59-8		HMDB08048	10682302	10474157	11365029	9328769	11548428	12832791	12510349	13416013	13157110	14200615	16237397	16387826
CHEBI:78268	C43H78NO8P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[NH3+])OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	InChI=1S/C43H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,22,24,28,30,41H,3-10,12,14-16,18,20-21,23,25-27,29,31-40,44H2,1-2H3,(H,47,48)/b13-11-,19-17-,24-22-,30-28-/t41-/m1/s1	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)																	Method 2	5289133			HMDB09003	25220242	29107912	26869308	27252182	28766264	29982220	27388234	25104588	26048124	28259042	30838540	33199758
CHEBI:84153	C47H83O13P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	InChI=1S/C47H83O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,22,24,28,30,39,42-47,50-54H,3-10,12,14-16,18,20-21,23,25-27,29,31-38H2,1-2H3,(H,55,56)/b13-11-,19-17-,24-22-,30-28-/t39-,42-,43-,44+,45-,46-,47-/m1/s1	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)																	Method 2		383907-33-3		HMDB09815	15787944	17152736	17772474	15646398	16029494	20305108	13844444	16269357	15893324	16866166	17115460	20187512
CHEBI:84829	C48H84NO8P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	InChI=1S/C48H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-39-41-48(51)57-46(45-56-58(52,53)55-43-42-49(3,4)5)44-54-47(50)40-38-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,24-25,29,31,35,37,46H,6-7,9,11-13,15,17-19,21,23,26-28,30,32-34,36,38-45H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,31-29-,37-35-/t46-/m1/s1	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)																	Method 2		59403-52-0		HMDB08057	2381331	2510741	2619188	2257452	2552600	2971894	2613351	2993816	3040664	3153458	2875055	3828234
CHEBI:78266	C45H78NO8P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[NH3+])OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	InChI=1S/C45H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,43H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-/t43-/m1/s1	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*																	Method 2	9546798			HMDB05334	4375949	4643430	4503236	4792872	4337449	5309696	4331903	4158360	4192188	4474344	5085079	5203859
CHEBI:75034	C44H86NO8P	O(P(OC[C@@H](COC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)[O-])CC[N+](C)(C)C	InChI=1S/C44H86NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,42H,6-20,22,24-41H2,1-5H3/b23-21-/t42-/m1/s1	1-stearoyl-2-oleoyl-GPC (18:0/18:1)																	Method 2		56421-10-4		HMDB08038	145938816	161913184	163572528	143755584	163045440	171024128	154263088	158222864	158920272	171381104	169398048	185378448
CHEBI:75038	C41H80NO8P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[NH3+])OC(=O)CCCCCCC\C=C/CCCCCCCC	InChI=1S/C41H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h18,20,39H,3-17,19,21-38,42H2,1-2H3,(H,45,46)/b20-18-/t39-/m1/s1	1-stearoyl-2-oleoyl-GPE (18:0/18:1)																	Method 2				HMDB08993	74245896	90412560	89140960	72218368	78056488	93038160	74342992	71805176	75254048	77805376	77796464	90422728
				1-stearoyl-2-oleoyl-GPG (18:0/18:1)																	Method 2		322647-48-3			3747331	4460580	4339389	3775615	3960337	4911856	3049865	3309177	3292657	3363900	3958748	4537841
				1-stearoyl-2-oleoyl-GPI (18:0/18:1)*																	Method 2					14680021	18851564	18319712	15402438	16595110	16354804	19928664	21149784	20609668	22746268	24518922	26856628
				1-stearoyl-2-oleoyl-GPS (18:0/18:1)																	Method 2	9547087			HMDB10163	50418952	55302584	56134568	48529064	49390448	57475552	55539152	55085192	58161624	61338612	59527232	70922592
				1-stearoyl-GPC (18:0)																	Method 2	497299	19420-57-6		HMDB10384	11763283	18170142	14622678	12764994	13311675	21636464	18844708	22543662	21451864	22502464	25178186	36301424
				1-stearoyl-GPE (18:0)																	Method 2	9547068	69747-55-3		HMDB11130	21562556	25365362	24396030	21310160	22552364	30356240	21839916	24482284	21034086	24089652	27786616	33248026
				1-stearoyl-GPG (18:0)																	Method 3					741261	607394	476091	814022	1300343	214870	2295686	3062822	1326960	2173360	1539956	948743
				1-stearoyl-GPI (18:0)																	Method 3		796963-93-4		HMDB61696	13822688	7796034	10327368	17554124	25436752	3307188	27159668	47659800	17667012	25775540	27384250	11216396
				1-stearoyl-GPS (18:0)*																	Method 2	9547101				797262	1139311	1140332	750486	1116085	1240933	1227408	1179756	1236917	1439463	1545311	2157633
				10-heptadecenoate (17:1n7)																	Method 3	5312435	29743-97-3		HMDB60038	70530752	75319096	41118920	60672100	156687840	26896672	429610080	570046272	156041424	160217824	107073792	95609328
				10-nonadecenoate (19:1n9)																	Method 3	5312513	73033-09-7		HMDB13622	36245328	38166728	25069516	32242628	65535232	14257522	65312228	95510392	32040370	37721516	23415454	23446968
				13-methylmyristate (i15:0)																	Method 3	151014	2485-71-4			18949752	13437487	6741678	13907627	30023504	5743713	80893784	107654176	37633048	39455780	39004156	31524624
				15-methylpalmitate (i17:0)																	Method 3	17903417				54419496	51002132	34375864	42585272	96613040	19451708	191386864	256607904	107147808	102662920	75027856	73820072
				17-methylstearate (i19:0)																	Method 3	3083779	2724-59-6		HMDB37397	3031749	3328895	2877305	3196384	5477788	1041526	9150670	11572339	5417962	6781268	4158440	3779387
CHEBI:15698	C9H13N3O4	Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1	2'-deoxycytidine																	Method 3	13711	951-77-9	C00881	HMDB00014												
CHEBI:17172	C10H13N5O4	Nc1nc2n(cnc2c(=O)[nH]1)[C@H]1C[C@H](O)[C@@H](CO)O1	InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1	2'-deoxyguanosine																	Method 3	187790	961-07-9	C00330	HMDB00085	92169	56048	82505	97212	135378	54897	42968		28895			76276
CHEBI:28997	C10H12N4O4	OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1nc[nH]c2=O	InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1	2'-deoxyinosine																	Method 3	65058	890-38-0	C05512	HMDB00071	138101	146513	139919	166035	190583	103546	32979	49572	46193	88071	191381	204655
CHEBI:16450	C9H12N2O5	OC[C@H]1O[C@H](C[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1	2'-deoxyuridine																	Method 3	13712	951-78-0	C00526	HMDB00012	142095	115767	99365	193274	145136	90072	101782	73000	61297	118327	164619	93306
CHEBI:19228	C10H15N3O5	CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O	InChI=1S/C10H15N3O5/c1-17-8-7(15)5(4-14)18-9(8)13-3-2-6(11)12-10(13)16/h2-3,5,7-9,14-15H,4H2,1H3,(H2,11,12,16)/t5-,7-,8-,9-/m1/s1	2'-O-methylcytidine																	Method 1	150971	2140-72-9			202458	172667	267428	199499	250372	341799	120365	179225	141239	186688	228833	236264
CHEBI:19227	C10H14N2O6	CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O	InChI=1S/C10H14N2O6/c1-17-8-7(15)5(4-13)18-9(8)12-3-2-6(14)11-10(12)16/h2-3,5,7-9,13,15H,4H2,1H3,(H,11,14,16)/t5-,7-,8-,9-/m1/s1	2'-O-methyluridine																	Method 3	102212	2140-76-3			152800	170084	306161	216456	320422	215975	247506	309792	228336	552691	802518	869985
				2,3-dihydroxy-2-methylbutyrate																	Method 4	301941	14868-24-7		HMDB29576	76770	84694	130246	77821	99935	130296	238828	196985	312797	275503	401218	498919
CHEBI:28907	C3H8O10P2	OC(=O)C(COP(O)(O)=O)OP(O)(O)=O	InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)	2,3-diphosphoglycerate																	Method 3	186004	102783-53-9	C01159	HMDB01294	1391502	2299371	1463968	1898860	2643499	1291267	719686	205037	79218	170390		
CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	2-aminoadipate																	Method 4	469	542-32-5;1118-90-7	C00956	HMDB00510	232522	239609	193709	156273	153910	166523	245373	354050	301818	488580	622296	460171
				2-arachidonoylglycerol (20:4)																	Method 3	5282280	53847-30-6	C13856	HMDB04666	127045	90968	94235		203292		584012	658557	365143	338573	263031	143921
CHEBI:17023	C6H10O5	OC(CCCC(O)=O)C(O)=O	InChI=1S/C6H10O5/c7-4(6(10)11)2-1-3-5(8)9/h4,7H,1-3H2,(H,8,9)(H,10,11)	2-hydroxyadipate																	Method 4	193530	18294-85-4	C02360	HMDB00321	187667			411123	577198		281185	378520	377713	511647	451602	651011
CHEBI:76992	C20H40O3	CCCCCCCCCCCCCCCCCCC(O)C(O)=O	InChI=1S/C20H40O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(21)20(22)23/h19,21H,2-18H2,1H3,(H,22,23)	2-hydroxyarachidate*																	Method 3	5225199				111039		63464	147125	146088	44249	558750	608924	249940	263982	266733	274844
CHEBI:50129	C4H8O3	CC(C)(O)C(O)=O	InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)	2-hydroxybutyrate/2-hydroxyisobutyrate																	Method 4						148461		60554		65536			62284		155564	242907
CHEBI:133172	C10H20O3	C(CCCCCC)CC(C(=O)O)O	InChI=1S/C10H20O3/c1-2-3-4-5-6-7-8-9(11)10(12)13/h9,11H,2-8H2,1H3,(H,12,13)	2-hydroxydecanoate																	Method 3	21488	5393-81-7			223150	304372	146232	179620	218681	77434	87329		18662		83864	
CHEBI:17084	C5H8O5	OC(CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)	2-hydroxyglutarate																	Method 4	43	40951-21-1	C02630	HMDB00606	2382543	2111876	2592337	1517134	1670484	2182533	6037006	10876363	8545660	8440657	11673528	11057027
CHEBI:59270	C14H28O3	CCCCCCCCCCCCC(O)C(O)=O	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	2-hydroxymyristate																	Method 3	1563	2507-55-3	C13790	HMDB02261	712693	752024	583128	526664	938799	230232	1588152	2112142	1459884	1380169	962020	1072101
CHEBI:84324	C24H45O3	CCCCCCCC\C=C/CCCCCCCCCCCCC(O)C([O-])=O	InChI=1S/C24H46O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23(25)24(26)27/h9-10,23,25H,2-8,11-22H2,1H3,(H,26,27)/p-1/b10-9-	2-hydroxynervonate*																	Method 3	5312783				301254	348192	227663	383943	689847	119942	706458	661887	333429	459442	375075	233030
CHEBI:65101	C16H32O3	CCCCCCCCCCCCCCC(O)C(O)=O	InChI=1S/C16H32O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(17)16(18)19/h15,17H,2-14H2,1H3,(H,18,19)	2-hydroxypalmitate																	Method 3	92836	764-67-0		HMDB31057	65033508	59674200	27949616	55696224	134430704	24584772	352926816	425681824	198562480	197006048	135412528	150011552
CHEBI:19660	C18H36O3	CCCCCCCCCCCCCCCCC(O)C(O)=O	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(19)18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	2-hydroxystearate																	Method 3	69417	629-22-1	C03045		13156686	12106477	10146970	12601667	25673874	5668908	42140956	55921972	27902980	26683632	19652884	22842428
				2-linoleoylglycerol (18:2)																	Method 3	5365676	3443-82-1		HMDB11538	346228	531774	325252	289848	434278		2475528	2906141	1588117	1392731	610962	684490
				2-methylbutyrylcarnitine (C5)																	Method 1	6426901	31023-25-3		HMDB00378	2741542	2495374	2687551	2586264	2715265	2631941	1874276	2282336	2477994	2519930	3386609	3137690
				2-methylcitrate/homocitrate																	Method 3					510216	481666	471790	474073	593259	624107	179826	191189	172525	194383	259238	263633
				2-myristoylglycerol (14:0)																	Method 3	137938	27214-38-6		HMDB11530	2775504	2237276	1314191	2020259	3792342	656440	10849399	12531186	5860389	4507276	3822978	4188326
				2-oleoylglycerol (18:1)																	Method 3	5319879	3443-84-3		HMDB11537	15261746	11045589	6247343	11882387	15115734	3204881	38371224	70953016	17803592	19366088	25785720	12816962
CHEBI:133515	C24H48NO7P	OC[C@H](COP(OCC[N+](C)(C)C)(=O)[O-])OC(=O)CCCCCCC/C=C\CCCCCC	InChI=1S/C24H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)32-23(21-26)22-31-33(28,29)30-20-19-25(2,3)4/h10-11,23,26H,5-9,12-22H2,1-4H3/b11-10-/t23-/m1/s1	2-palmitoleoyl-GPC (16:1)*																	Method 2				HMDB10383	3680054	3997441	1673317	2206162	2371675	4052336	4694295	6362279	5339284	7118307	5469030	8207643
				2-palmitoyl-GPC (16:0)*																	Method 3	15061532			HMDB61702	839042	707425	416104	1360582	1618445	264893	2035247	3918437	1506297	2356154	2112005	926513
				2-palmitoylglycerol (16:0)																	Method 3	123409	23470-00-0		HMDB11533	15487192	24566688	11678984	12758070	29604630	2639937	121061568	149573984	48988460	45717764	33232990	30206654
CHEBI:133144	C23H48NO7P	P(OC[C@@H](CO)OC(CCCCCCCCCCCCCCCCC)=O)(=O)(OCC[NH3+])[O-]	InChI=1S/C23H48NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)31-22(20-25)21-30-32(27,28)29-19-18-24/h22,25H,2-21,24H2,1H3,(H,27,28)/t22-/m1/s1	2-stearoyl-GPE (18:0)*																	Method 3				HMDB11129	1080971	1144871	475525	1353840	992577	433524		1726003	914688	1233540	1068392	517784
CHEBI:190598	C21H33N7O13P2S.Li.Li	SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OC[C@H]1O[C@@H](N2C3=NC=NC(N)=C3N=C2)[C@H](O)[C@@H]1O)([O-])=O)([O-])=O)(C)C.[Li+].[Li+]	InChI=1S/C21H35N7O13P2S.2Li/c1-21(2,16(32)19(33)24-4-3-12(29)23-5-6-44)8-39-43(36,37)41-42(34,35)38-7-11-14(30)15(31)20(40-11)28-10-27-13-17(22)25-9-26-18(13)28;;/h9-11,14-16,20,30-32,44H,3-8H2,1-2H3,(H,23,29)(H,24,33)(H,34,35)(H,36,37)(H2,22,25,26);;/q;2*+1/p-2/t11-,14-,15-,16?,20-;;/m1../s1	3'-dephosphocoenzyme A																	Method 3	444485	3633-59-8	C00882	HMDB01373			37024			57838	93049	98194	90724	156648	163779	95558
CHEBI:17385	C9H10O4	OC(Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)	3-(4-hydroxyphenyl)lactate																	Method 3	9378	6482-98-0	C03672	HMDB00755	728441	515854	499322	677912	686335	394165	1701715	2445975	1706903	2337075	3664456	3785129
CHEBI:27389	C4H9NO2	CC(CN)C(O)=O	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	3-aminoisobutyrate																	Method 1	64956	10569-72-9;214139-20-5	C05145	HMDB03911												93559
CHEBI:82956	C5H10O3	CCC(CO)C(O)=O	InChI=1S/C5H10O3/c1-2-4(3-6)5(7)8/h4,6H,2-3H2,1H3,(H,7,8)	3-hydroxy-2-ethylpropionate																	Method 4	188979	4374-62-3		HMDB00396	152248	158501			207856	129464					267678	
CHEBI:16831	C6H10O5	CC(O)(CC(O)=O)CC(O)=O	InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)	3-hydroxy-3-methylglutarate																	Method 4	1662	503-49-1	C03761	HMDB00355	6570255	5398660	6072910	5975682	7448439	6990167	11481011	18052432	18154748	16051669	25364670	25202608
				3-hydroxybutyrate (BHBA)																	Method 4	441	625-72-9	C01089	HMDB00357				252964	254422		187630	310575	376051		486405	419922
				3-hydroxybutyrylcarnitine (1)																	Method 1	53481617			HMDB13127	34437	29516	25482		27802	39500		59989	71480	68848	80032	74217
CHEBI:132983	C10H20O3	C(CC(CCCCCCC)O)(=O)O	InChI=1S/C10H20O3/c1-2-3-4-5-6-7-9(11)8-10(12)13/h9,11H,2-8H2,1H3,(H,12,13)	3-hydroxydecanoate																	Method 3	26612	5561-87-5		HMDB02203							82127		58726		127075	156987
CHEBI:37035	C6H12O3	CCCC(O)CC(O)=O	InChI=1S/C6H12O3/c1-2-3-5(7)4-6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	3-hydroxyhexanoate																	Method 3	151492	10191-24-9			50699					43033		50189	50119			72659
CHEBI:11805	C4H7O3	CC(CO)C([O-])=O	InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1	3-hydroxyisobutyrate																	Method 4	87	2068-83-9	C06001	HMDB00336	188314	280437		289895	335809		234323	364320	544841	274922	518715	466846
CHEBI:36206	C12H24O3	CCCCCCCCCC(O)CC(O)=O	InChI=1S/C12H24O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15/h11,13H,2-10H2,1H3,(H,14,15)	3-hydroxylaurate																	Method 3	94216	53941-38-1		HMDB00387	278176		187864	140976	189749	90091	315231	435313	163991	268758	362739	428653
CHEBI:85148	C14H28O3	CCCCCCCCCCCC(O)CC(O)=O	InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-13(15)12-14(16)17/h13,15H,2-12H2,1H3,(H,16,17)	3-hydroxymyristate																	Method 3	16064	3422-31-9			386951	312098	173864	328639	384407	351835	454201	572010	192889	378723	526144	554174
CHEBI:37098	C8H16O3	CCCCCC(O)CC(O)=O	InChI=1S/C8H16O3/c1-2-3-4-5-7(9)6-8(10)11/h7,9H,2-6H2,1H3,(H,10,11)	3-hydroxyoctanoate																	Method 3	26613	88930-08-9		HMDB01954											116182	
				3-hydroxyoleate*																	Method 3					19003690	18804070	8978230	16615627	43059996	7480474	96606032	124286288	44937312	49426540	29623902	29989746
CHEBI:50578	C18H36O3	CCCCCCCCCCCCCCCC(O)CC(O)=O	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17(19)16-18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	3-hydroxystearate																	Method 3	5282907	45261-96-9			2224647	1612073	674958	1306445	2499340	227931	7637018	11208827	4092166	3398199	4196431	3316533
CHEBI:20129	C10H15N3O5	Cn1c(=N)ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1=O	InChI=1S/C10H15N3O5/c1-12-6(11)2-3-13(10(12)17)9-8(16)7(15)5(4-14)18-9/h2-3,5,7-9,11,14-16H,4H2,1H3/t5-,7-,8-,9-/m1/s1	3-methylcytidine																	Method 1	159649	21028-20-6			79362	61019	54468	85758	84201	58081	22604	23208				26631
				3-methylglutaconate																	Method 4	1551553	5746-90-7		HMDB00522	79929	75745	78204	76786	110979	91411	119447	149854	180377	154628	220414	194972
CHEBI:70959	C7H11N3O2	Cn1cncc1CC(N)C(O)=O	InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)	3-methylhistidine																	Method 1	64969	368-16-1	C01152	HMDB00479	127104			124642			241159	316565	234440	275388	354822	283776
CHEBI:17050	C3H7O7P	OC(COP(O)(O)=O)C(O)=O	InChI=1S/C3H7O7P/c4-2(3(5)6)1-10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)	3-phosphoglycerate																	Method 3	724	80731-10-8	C00597	HMDB00807	49620608	65273388	42927620	54723332	64043880	33702064	18366884	8776903	6729493	7647236	2779894	1933858
CHEBI:17285	C3H7NO5S	N[C@@H](CS(O)(=O)=O)C(O)=O	InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/t2-/m0/s1	3-sulfo-L-alanine																	Method 4	72886	498-40-8	C00506	HMDB02757		54301	42075	35330	93857	42086	50927	98460	62995	93458	150202	83002
CHEBI:46171	C9H9NO3	CC(=O)Nc1ccc(cc1)C(O)=O	InChI=1S/C9H9NO3/c1-6(11)10-8-4-2-7(3-5-8)9(12)13/h2-5H,1H3,(H,10,11)(H,12,13)	4-acetamidobenzoate																	Method 3	19266	556-08-1	D03836		513886	451205	313689	526097	543482	417232	779446	628470	799332	999445	1063974	1218656
CHEBI:17645	C6H11NO3	CC(=O)NCCCC(O)=O	InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	4-acetamidobutanoate																	Method 1	18189	3025-96-5	C02946	HMDB03681	206229	89775	73544	130847	57565	93276	259776	484851	494030	372266	867046	721969
CHEBI:16175	C27H44O	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	4-cholesten-3-one																	Method 2	91477	601-57-0	C00599	HMDB00921	486321	415826	366148	412530	436086	398974	519803	525274	449982	487592	538861	410978
